transcriptID,geneID
YBL058W_mRNA,YBL058W
YBL057C_mRNA,YBL057C
YBL056W_mRNA,YBL056W
YBL055C_mRNA,YBL055C
YBL054W_mRNA,YBL054W
YBL053W_mRNA,YBL053W
YBL052C_mRNA,YBL052C
YBL051C_mRNA,YBL051C
YBL050W_mRNA,YBL050W
YBL049W_mRNA,YBL049W
YBL048W_mRNA,YBL048W
YBL047C_mRNA,YBL047C
YBL046W_mRNA,YBL046W
YBL045C_mRNA,YBL045C
YBL044W_mRNA,YBL044W
YBL043W_mRNA,YBL043W
YBL042C_mRNA,YBL042C
YBL041W_mRNA,YBL041W
YBL040C_mRNA,YBL040C
YBL039W-B_mRNA,YBL039W-B
YBL039C_mRNA,YBL039C
YBL039C-A_mRNA,YBL039C-A
YBL038W_mRNA,YBL038W
YBL037W_mRNA,YBL037W
YBL036C_mRNA,YBL036C
YBL035C_mRNA,YBL035C
YBL034C_mRNA,YBL034C
YBL033C_mRNA,YBL033C
YBL032W_mRNA,YBL032W
YBL031W_mRNA,YBL031W
YBL030C_mRNA,YBL030C
YBL029C-A_mRNA,YBL029C-A
YBL029W_mRNA,YBL029W
YBL028C_mRNA,YBL028C
YBL027W_mRNA,YBL027W
YBL026W_mRNA,YBL026W
YBL025W_mRNA,YBL025W
YBL024W_mRNA,YBL024W
YBL023C_mRNA,YBL023C
YBL022C_mRNA,YBL022C
YBL021C_mRNA,YBL021C
YBL020W_mRNA,YBL020W
YBL019W_mRNA,YBL019W
YBL018C_mRNA,YBL018C
YBL017C_mRNA,YBL017C
YBL016W_mRNA,YBL016W
YBL015W_mRNA,YBL015W
YBL014C_mRNA,YBL014C
YBL013W_mRNA,YBL013W
YBL012C_mRNA,YBL012C
YBL011W_mRNA,YBL011W
YBL010C_mRNA,YBL010C
YBL009W_mRNA,YBL009W
YBL008W-A_mRNA,YBL008W-A
YBL008W_mRNA,YBL008W
YBL007C_mRNA,YBL007C
YBL006C_mRNA,YBL006C
YBL006W-A_mRNA,YBL006W-A
YBL005W_mRNA,YBL005W
YBL004W_mRNA,YBL004W
YBL003C_mRNA,YBL003C
YBL002W_mRNA,YBL002W
YBL001C_mRNA,YBL001C
YBR001C_mRNA,YBR001C
YBR002C_mRNA,YBR002C
YBR003W_mRNA,YBR003W
YBR004C_mRNA,YBR004C
YBR005W_mRNA,YBR005W
YBR006W_mRNA,YBR006W
YBR007C_mRNA,YBR007C
YBR008C_mRNA,YBR008C
YBR009C_mRNA,YBR009C
YBR010W_mRNA,YBR010W
YBR011C_mRNA,YBR011C
YBR012C_mRNA,YBR012C
YBR013C_mRNA,YBR013C
YBR014C_mRNA,YBR014C
YBR015C_mRNA,YBR015C
YBR016W_mRNA,YBR016W
YBR017C_mRNA,YBR017C
YBR018C_mRNA,YBR018C
YBR019C_mRNA,YBR019C
YBR020W_mRNA,YBR020W
YBR021W_mRNA,YBR021W
YBR022W_mRNA,YBR022W
YBR023C_mRNA,YBR023C
YBR024W_mRNA,YBR024W
YBR025C_mRNA,YBR025C
YBR026C_mRNA,YBR026C
YBR027C_mRNA,YBR027C
YBR028C_mRNA,YBR028C
YBR029C_mRNA,YBR029C
YBR030W_mRNA,YBR030W
YBR031W_mRNA,YBR031W
YBR032W_mRNA,YBR032W
YBR033W_mRNA,YBR033W
YBR034C_mRNA,YBR034C
YBR035C_mRNA,YBR035C
YBR036C_mRNA,YBR036C
YBR037C_mRNA,YBR037C
YBR038W_mRNA,YBR038W
YBR039W_mRNA,YBR039W
YBR040W_mRNA,YBR040W
YBR041W_mRNA,YBR041W
YBR042C_mRNA,YBR042C
YBR043C_mRNA,YBR043C
YBR044C_mRNA,YBR044C
YBR045C_mRNA,YBR045C
YBR046C_mRNA,YBR046C
YBR047W_mRNA,YBR047W
YBR048W_mRNA,YBR048W
YBR049C_mRNA,YBR049C
YBR050C_mRNA,YBR050C
YBR051W_mRNA,YBR051W
YBR052C_mRNA,YBR052C
YBR053C_mRNA,YBR053C
YBR054W_mRNA,YBR054W
YBR055C_mRNA,YBR055C
YBR056W_mRNA,YBR056W
YBR056W-A_mRNA,YBR056W-A
YBR056C-B_mRNA,YBR056C-B
YBR057C_mRNA,YBR057C
YBR058C_mRNA,YBR058C
YBR058C-A_mRNA,YBR058C-A
YBR059C_mRNA,YBR059C
YBR060C_mRNA,YBR060C
YBR061C_mRNA,YBR061C
YBR062C_mRNA,YBR062C
YBR063C_mRNA,YBR063C
YBR064W_mRNA,YBR064W
